iter	Logloss
0	0.5680574039
1	0.4980122056
2	0.4548173044
3	0.4277963765
4	0.4103637671
5	0.400222731
6	0.3943663457
7	0.3895784015
8	0.3864290581
9	0.3846567627
10	0.3830037922
11	0.3814107453
12	0.3805785382
13	0.3798098929
14	0.3792866748
15	0.3785800382
16	0.3780575163
17	0.3773747966
18	0.3768293503
19	0.3763283893
20	0.3758576034
21	0.3755244641
22	0.3750319872
23	0.3747016526
24	0.3742492836
25	0.3737754482
26	0.3731746249
27	0.3727565929
28	0.3724622546
29	0.3719551657
30	0.3716300028
31	0.3710937777
32	0.3710534828
33	0.3706794725
34	0.3704494353
35	0.3700091656
36	0.3696117412
37	0.3692111212
38	0.3689134485
39	0.3686743526
40	0.3682990535
41	0.3680232051
42	0.3676733844
43	0.3672550634
44	0.3669330726
45	0.3666300454
46	0.3660398526
47	0.3656697142
48	0.3652263109
49	0.3650314589
50	0.3645926667
51	0.3641462266
52	0.3637005462
53	0.3632105494
54	0.3628312983
55	0.3623104477
56	0.361952193
57	0.3614696174
58	0.361079808
59	0.3605985111
60	0.3602561192
61	0.35994921
62	0.3595860814
63	0.3592365336
64	0.3589481162
65	0.358562416
66	0.3581129077
67	0.3577317734
68	0.3574097997
69	0.3570078181
70	0.3566800409
71	0.3564542222
72	0.3560823381
73	0.3557945393
74	0.3555653452
75	0.3553196825
76	0.3548778608
77	0.3544121592
78	0.3541408411
79	0.3538651716
80	0.3534958148
81	0.353194058
82	0.3528413794
83	0.3524543305
84	0.3521855552
85	0.3519692695
86	0.3514841643
87	0.3511476539
88	0.350815941
89	0.3505782484
90	0.3501590856
91	0.3496916995
92	0.3493468548
93	0.3488788785
94	0.3486060332
95	0.3482074661
96	0.3479193826
97	0.3475723155
98	0.3471502367
99	0.3468185924
