iter	Passed	Remaining
0	10	1000
1	19	979
2	28	915
3	40	961
4	50	966
5	60	954
6	70	936
7	79	919
8	91	926
9	101	911
10	109	889
11	120	886
12	130	872
13	146	898
14	181	1029
15	219	1151
16	230	1124
17	241	1101
18	251	1073
19	262	1049
20	272	1025
21	283	1003
22	293	982
23	302	958
24	312	936
25	322	916
26	331	896
27	341	878
28	350	858
29	360	841
30	369	823
31	379	806
32	388	787
33	399	775
34	410	762
35	420	747
36	432	735
37	444	725
38	456	714
39	467	701
40	479	689
41	489	675
42	499	662
43	511	651
44	520	636
45	530	623
46	542	612
47	555	601
48	567	590
49	581	581
50	595	572
51	606	559
52	616	546
53	626	533
54	635	519
55	644	506
56	653	493
57	664	481
58	673	468
59	684	456
60	694	443
61	704	431
62	713	419
63	722	406
64	731	393
65	741	382
66	750	369
67	759	357
68	768	345
69	779	334
70	791	323
71	801	311
72	814	301
73	825	289
74	835	278
75	847	267
76	857	256
77	866	244
78	875	232
79	884	221
80	895	210
81	905	198
82	918	188
83	927	176
84	949	167
85	959	156
86	972	145
87	985	134
88	997	123
89	1008	112
90	1019	100
91	1031	89
92	1043	78
93	1055	67
94	1066	56
95	1075	44
96	1082	33
97	1087	22
98	1093	11
99	1099	0
